
==========================================================================================
FETCHING NIFTY
NIFTY CANDLES: 5000
NIFTY | ADV CURVE 3 | NEXT 1 | BULL | SIGNALS 449 | WINS 227 | RATE 50.56 % | AVG MFE 0.0547 % | AVG MAE 0.0561 %
NIFTY | ADV CURVE 3 | NEXT 1 | BEAR | SIGNALS 451 | WINS 215 | RATE 47.67 % | AVG MFE 0.0481 % | AVG MAE 0.0571 %
NIFTY | ADV CURVE 3 | NEXT 3 | BULL | SIGNALS 449 | WINS 227 | RATE 50.56 % | AVG MFE 0.1128 % | AVG MAE 0.0968 %
NIFTY | ADV CURVE 3 | NEXT 3 | BEAR | SIGNALS 451 | WINS 212 | RATE 47.01 % | AVG MFE 0.0874 % | AVG MAE 0.1051 %
NIFTY | ADV CURVE 3 | NEXT 5 | BULL | SIGNALS 448 | WINS 230 | RATE 51.34 % | AVG MFE 0.149 % | AVG MAE 0.1313 %
NIFTY | ADV CURVE 3 | NEXT 5 | BEAR | SIGNALS 451 | WINS 228 | RATE 50.55 % | AVG MFE 0.1274 % | AVG MAE 0.1382 %
NIFTY | ADV CURVE 4 | NEXT 1 | BULL | SIGNALS 189 | WINS 99 | RATE 52.38 % | AVG MFE 0.0676 % | AVG MAE 0.0439 %
NIFTY | ADV CURVE 4 | NEXT 1 | BEAR | SIGNALS 178 | WINS 90 | RATE 50.56 % | AVG MFE 0.0585 % | AVG MAE 0.0507 %
NIFTY | ADV CURVE 4 | NEXT 3 | BULL | SIGNALS 189 | WINS 103 | RATE 54.5 % | AVG MFE 0.1351 % | AVG MAE 0.0903 %
NIFTY | ADV CURVE 4 | NEXT 3 | BEAR | SIGNALS 178 | WINS 81 | RATE 45.51 % | AVG MFE 0.0951 % | AVG MAE 0.0976 %
NIFTY | ADV CURVE 4 | NEXT 5 | BULL | SIGNALS 189 | WINS 98 | RATE 51.85 % | AVG MFE 0.1661 % | AVG MAE 0.1186 %
NIFTY | ADV CURVE 4 | NEXT 5 | BEAR | SIGNALS 178 | WINS 87 | RATE 48.88 % | AVG MFE 0.135 % | AVG MAE 0.1398 %
NIFTY | ADV CURVE 5 | NEXT 1 | BULL | SIGNALS 85 | WINS 40 | RATE 47.06 % | AVG MFE 0.048 % | AVG MAE 0.069 %
NIFTY | ADV CURVE 5 | NEXT 1 | BEAR | SIGNALS 79 | WINS 38 | RATE 48.1 % | AVG MFE 0.0631 % | AVG MAE 0.0513 %
NIFTY | ADV CURVE 5 | NEXT 3 | BULL | SIGNALS 85 | WINS 51 | RATE 60.0 % | AVG MFE 0.125 % | AVG MAE 0.0982 %
NIFTY | ADV CURVE 5 | NEXT 3 | BEAR | SIGNALS 79 | WINS 38 | RATE 48.1 % | AVG MFE 0.1031 % | AVG MAE 0.0934 %
NIFTY | ADV CURVE 5 | NEXT 5 | BULL | SIGNALS 85 | WINS 48 | RATE 56.47 % | AVG MFE 0.1594 % | AVG MAE 0.1211 %
NIFTY | ADV CURVE 5 | NEXT 5 | BEAR | SIGNALS 79 | WINS 38 | RATE 48.1 % | AVG MFE 0.1322 % | AVG MAE 0.135 %

==========================================================================================
FETCHING SENSEX
SENSEX CANDLES: 5000
