====================================================================================================
ADVANCED CURVE FILTER RESEARCH
CANDLES: 7951
CURVE SIGNALS: 183
MATCHED: 180

====================================================================================================
FINAL ADVANCED RESULTS

SIDE: CE
STRONG_60+TIME_AFTERNOON_1300_1430 | SIGNALS 9 | RATE 88.89 % | AVG MFE 0.1829 % | AVG MAE 0.0525 %
STRONG_70+TIME_AFTERNOON_1300_1430 | SIGNALS 8 | RATE 87.5 % | AVG MFE 0.1954 % | AVG MAE 0.0587 %
STRONG_50+TIME_AFTERNOON_1300_1430 | SIGNALS 11 | RATE 81.82 % | AVG MFE 0.1554 % | AVG MAE 0.0685 %
EMA+STRONG_60+TIME_AFTERNOON_1300_1430 | SIGNALS 5 | RATE 80.0 % | AVG MFE 0.1396 % | AVG MAE 0.0647 %
EMA+STRONG_50+TIME_AFTERNOON_1300_1430 | SIGNALS 5 | RATE 80.0 % | AVG MFE 0.1396 % | AVG MAE 0.0647 %
EMA+STRONG_60+TIME_OPEN_0915_1100 | SIGNALS 8 | RATE 75.0 % | AVG MFE 0.0967 % | AVG MAE 0.0693 %
EMA+STRONG_70+TIME_LATE_1430_CLOSE | SIGNALS 4 | RATE 75.0 % | AVG MFE 0.1055 % | AVG MAE 0.1633 %
EMA+STRONG_70+TIME_AFTERNOON_1300_1430 | SIGNALS 4 | RATE 75.0 % | AVG MFE 0.1537 % | AVG MAE 0.08 %
EMA+STRONG_70+TIME_OPEN_0915_1100 | SIGNALS 7 | RATE 71.43 % | AVG MFE 0.0982 % | AVG MAE 0.0758 %
EMA+STRONG_60+TIME_LATE_1430_CLOSE | SIGNALS 7 | RATE 71.43 % | AVG MFE 0.0914 % | AVG MAE 0.1071 %
TIME_AFTERNOON_1300_1430 | SIGNALS 17 | RATE 70.59 % | AVG MFE 0.1806 % | AVG MAE 0.0976 %
EMA+STRONG_60 | SIGNALS 30 | RATE 70.0 % | AVG MFE 0.1209 % | AVG MAE 0.0882 %
STRONG_70+TIME_OPEN_0915_1100 | SIGNALS 10 | RATE 70.0 % | AVG MFE 0.095 % | AVG MAE 0.0704 %
EMA+STRONG_70 | SIGNALS 22 | RATE 68.18 % | AVG MFE 0.1367 % | AVG MAE 0.1061 %
STRONG_60+TIME_OPEN_0915_1100 | SIGNALS 12 | RATE 66.67 % | AVG MFE 0.0879 % | AVG MAE 0.0722 %
EMA+STRONG_50+TIME_MID_1100_1300 | SIGNALS 12 | RATE 66.67 % | AVG MFE 0.1354 % | AVG MAE 0.091 %
STRONG_70 | SIGNALS 33 | RATE 63.64 % | AVG MFE 0.1405 % | AVG MAE 0.0974 %
STRONG_60 | SIGNALS 43 | RATE 62.79 % | AVG MFE 0.1255 % | AVG MAE 0.093 %
EMA+STRONG_50 | SIGNALS 40 | RATE 62.5 % | AVG MFE 0.1104 % | AVG MAE 0.0939 %
TIME_LATE_1430_CLOSE | SIGNALS 16 | RATE 62.5 % | AVG MFE 0.1407 % | AVG MAE 0.131 %
STRONG_60+TIME_LATE_1430_CLOSE | SIGNALS 8 | RATE 62.5 % | AVG MFE 0.0875 % | AVG MAE 0.1039 %
EMA+STRONG_50+TIME_LATE_1430_CLOSE | SIGNALS 8 | RATE 62.5 % | AVG MFE 0.0841 % | AVG MAE 0.1095 %
EMA+STRONG_60+TIME_MID_1100_1300 | SIGNALS 10 | RATE 60.0 % | AVG MFE 0.1516 % | AVG MAE 0.102 %
STRONG_70+TIME_LATE_1430_CLOSE | SIGNALS 5 | RATE 60.0 % | AVG MFE 0.0965 % | AVG MAE 0.147 %
STRONG_50 | SIGNALS 59 | RATE 59.32 % | AVG MFE 0.1165 % | AVG MAE 0.0996 %
CURVE_ONLY | SIGNALS 92 | RATE 58.7 % | AVG MFE 0.1341 % | AVG MAE 0.1101 %
TIME_OPEN_0915_1100 | SIGNALS 26 | RATE 57.69 % | AVG MFE 0.1172 % | AVG MAE 0.099 %
STRONG_50+TIME_OPEN_0915_1100 | SIGNALS 21 | RATE 57.14 % | AVG MFE 0.1031 % | AVG MAE 0.099 %
EMA+STRONG_70+TIME_MID_1100_1300 | SIGNALS 7 | RATE 57.14 % | AVG MFE 0.1834 % | AVG MAE 0.1186 %
STRONG_50+TIME_LATE_1430_CLOSE | SIGNALS 9 | RATE 55.56 % | AVG MFE 0.0815 % | AVG MAE 0.1065 %
EMA+STRONG_50+TIME_OPEN_0915_1100 | SIGNALS 15 | RATE 53.33 % | AVG MFE 0.0948 % | AVG MAE 0.0976 %
TIME_MID_1100_1300 | SIGNALS 33 | RATE 51.52 % | AVG MFE 0.1203 % | AVG MAE 0.1151 %
STRONG_50+TIME_MID_1100_1300 | SIGNALS 18 | RATE 50.0 % | AVG MFE 0.1257 % | AVG MAE 0.1158 %
STRONG_60+TIME_MID_1100_1300 | SIGNALS 14 | RATE 42.86 % | AVG MFE 0.1426 % | AVG MAE 0.1307 %
