====================================================================================================
NIFTY CURVE FILTER RESEARCH
SPOT CANDLES: 7951
CURVE SIGNALS: 183
MATCHED SIGNALS: 183

====================================================================================================
FINAL CURVE FILTER RESULTS

SIDE: CE
CURVE+EMA+STRONG | NEXT 5 | SIGNALS 31 | WINS 20 | RATE 64.52 % | AVG MFE 0.1161 % | AVG MAE 0.099 %
CURVE+EMA+STRONG+MOMENTUM | NEXT 5 | SIGNALS 31 | WINS 20 | RATE 64.52 % | AVG MFE 0.1161 % | AVG MAE 0.099 %
CURVE+STRONG | NEXT 5 | SIGNALS 43 | WINS 27 | RATE 62.79 % | AVG MFE 0.1255 % | AVG MAE 0.093 %
CURVE+STRONG+MOMENTUM | NEXT 5 | SIGNALS 43 | WINS 27 | RATE 62.79 % | AVG MFE 0.1255 % | AVG MAE 0.093 %
CURVE+STRONG | NEXT 3 | SIGNALS 43 | WINS 26 | RATE 60.47 % | AVG MFE 0.1038 % | AVG MAE 0.0737 %
CURVE+STRONG+MOMENTUM | NEXT 3 | SIGNALS 43 | WINS 26 | RATE 60.47 % | AVG MFE 0.1038 % | AVG MAE 0.0737 %
CURVE_ONLY | NEXT 3 | SIGNALS 92 | WINS 55 | RATE 59.78 % | AVG MFE 0.1068 % | AVG MAE 0.0849 %
CURVE+MOMENTUM | NEXT 3 | SIGNALS 92 | WINS 55 | RATE 59.78 % | AVG MFE 0.1068 % | AVG MAE 0.0849 %
CURVE+EMA | NEXT 3 | SIGNALS 63 | WINS 37 | RATE 58.73 % | AVG MFE 0.1003 % | AVG MAE 0.0826 %
CURVE+EMA+MOMENTUM | NEXT 3 | SIGNALS 63 | WINS 37 | RATE 58.73 % | AVG MFE 0.1003 % | AVG MAE 0.0826 %
CURVE+EMA | NEXT 5 | SIGNALS 63 | WINS 37 | RATE 58.73 % | AVG MFE 0.1265 % | AVG MAE 0.11 %
CURVE+EMA+MOMENTUM | NEXT 5 | SIGNALS 63 | WINS 37 | RATE 58.73 % | AVG MFE 0.1265 % | AVG MAE 0.11 %
CURVE_ONLY | NEXT 5 | SIGNALS 92 | WINS 54 | RATE 58.7 % | AVG MFE 0.1341 % | AVG MAE 0.1101 %
CURVE+MOMENTUM | NEXT 5 | SIGNALS 92 | WINS 54 | RATE 58.7 % | AVG MFE 0.1341 % | AVG MAE 0.1101 %
CURVE+EMA+STRONG | NEXT 3 | SIGNALS 31 | WINS 17 | RATE 54.84 % | AVG MFE 0.0892 % | AVG MAE 0.0781 %
CURVE+EMA+STRONG+MOMENTUM | NEXT 3 | SIGNALS 31 | WINS 17 | RATE 54.84 % | AVG MFE 0.0892 % | AVG MAE 0.0781 %
CURVE+EMA | NEXT 1 | SIGNALS 63 | WINS 33 | RATE 52.38 % | AVG MFE 0.0595 % | AVG MAE 0.0511 %
CURVE+EMA+MOMENTUM | NEXT 1 | SIGNALS 63 | WINS 33 | RATE 52.38 % | AVG MFE 0.0595 % | AVG MAE 0.0511 %
CURVE+STRONG | NEXT 1 | SIGNALS 43 | WINS 21 | RATE 48.84 % | AVG MFE 0.0689 % | AVG MAE 0.0489 %
CURVE+STRONG+MOMENTUM | NEXT 1 | SIGNALS 43 | WINS 21 | RATE 48.84 % | AVG MFE 0.0689 % | AVG MAE 0.0489 %
CURVE+EMA+STRONG | NEXT 1 | SIGNALS 31 | WINS 15 | RATE 48.39 % | AVG MFE 0.0552 % | AVG MAE 0.051 %
CURVE+EMA+STRONG+MOMENTUM | NEXT 1 | SIGNALS 31 | WINS 15 | RATE 48.39 % | AVG MFE 0.0552 % | AVG MAE 0.051 %
CURVE_ONLY | NEXT 1 | SIGNALS 92 | WINS 43 | RATE 46.74 % | AVG MFE 0.0615 % | AVG MAE 0.0523 %
CURVE+MOMENTUM | NEXT 1 | SIGNALS 92 | WINS 43 | RATE 46.74 % | AVG MFE 0.0615 % | AVG MAE 0.0523 %

SIDE: PE
CURVE_ONLY | NEXT 1 | SIGNALS 88 | WINS 40 | RATE 45.45 % | AVG MFE 0.0488 % | AVG MAE 0.0616 %
CURVE+MOMENTUM | NEXT 1 | SIGNALS 88 | WINS 40 | RATE 45.45 % | AVG MFE 0.0488 % | AVG MAE 0.0616 %
CURVE+EMA | NEXT 1 | SIGNALS 60 | WINS 27 | RATE 45.0 % | AVG MFE 0.051 % | AVG MAE 0.0607 %
CURVE+EMA+MOMENTUM | NEXT 1 | SIGNALS 60 | WINS 27 | RATE 45.0 % | AVG MFE 0.051 % | AVG MAE 0.0607 %
CURVE_ONLY | NEXT 5 | SIGNALS 88 | WINS 39 | RATE 44.32 % | AVG MFE 0.1138 % | AVG MAE 0.1185 %
CURVE+MOMENTUM | NEXT 5 | SIGNALS 88 | WINS 39 | RATE 44.32 % | AVG MFE 0.1138 % | AVG MAE 0.1185 %
CURVE_ONLY | NEXT 3 | SIGNALS 88 | WINS 38 | RATE 43.18 % | AVG MFE 0.0814 % | AVG MAE 0.0973 %
CURVE+MOMENTUM | NEXT 3 | SIGNALS 88 | WINS 38 | RATE 43.18 % | AVG MFE 0.0814 % | AVG MAE 0.0973 %
CURVE+EMA | NEXT 5 | SIGNALS 60 | WINS 25 | RATE 41.67 % | AVG MFE 0.1118 % | AVG MAE 0.1165 %
CURVE+EMA+MOMENTUM | NEXT 5 | SIGNALS 60 | WINS 25 | RATE 41.67 % | AVG MFE 0.1118 % | AVG MAE 0.1165 %
CURVE+EMA | NEXT 3 | SIGNALS 60 | WINS 24 | RATE 40.0 % | AVG MFE 0.0751 % | AVG MAE 0.0961 %
CURVE+EMA+MOMENTUM | NEXT 3 | SIGNALS 60 | WINS 24 | RATE 40.0 % | AVG MFE 0.0751 % | AVG MAE 0.0961 %
CURVE+EMA+STRONG | NEXT 5 | SIGNALS 35 | WINS 14 | RATE 40.0 % | AVG MFE 0.1017 % | AVG MAE 0.116 %
CURVE+EMA+STRONG+MOMENTUM | NEXT 5 | SIGNALS 35 | WINS 14 | RATE 40.0 % | AVG MFE 0.1017 % | AVG MAE 0.116 %
