====================================================================================================
INDEPENDENT PE REVERSAL RESEARCH
CANDLES: 7951
REVERSAL EVENT CANDLES: 2591

====================================================================================================
FINAL INDEPENDENT PE REVERSAL RESULTS
UP3+LOWER_HIGH+BEAR+TIME_MID_1100_1300 | SIGNALS 363 | RATE 58.4 % | AVG MFE 0.1202 % | AVG MAE 0.0959 %
PRIOR_UP3+BEAR+TIME_MID_1100_1300 | SIGNALS 651 | RATE 55.91 % | AVG MFE 0.1178 % | AVG MAE 0.0967 %
UP3+EMA_BREAK+BEAR+TIME_LATE_1430_CLOSE | SIGNALS 141 | RATE 55.32 % | AVG MFE 0.1314 % | AVG MAE 0.106 %
UP5+BREAK_LOW+EMA+TIME_LATE_1430_CLOSE | SIGNALS 78 | RATE 55.13 % | AVG MFE 0.1416 % | AVG MAE 0.1035 %
UP5+BREAK_LOW+EMA+NEAR_LOW+TIME_LATE_1430_CLOSE | SIGNALS 59 | RATE 54.24 % | AVG MFE 0.1455 % | AVG MAE 0.1121 %
PRIOR_UP5+BEAR+TIME_LATE_1430_CLOSE | SIGNALS 284 | RATE 54.23 % | AVG MFE 0.131 % | AVG MAE 0.1063 %
UP3+BREAK_LOW+EMA+TIME_MID_1100_1300 | SIGNALS 176 | RATE 53.98 % | AVG MFE 0.1251 % | AVG MAE 0.098 %
UP3+EMA_BREAK+BEAR+TIME_MID_1100_1300 | SIGNALS 329 | RATE 53.8 % | AVG MFE 0.1158 % | AVG MAE 0.0971 %
PRIOR_UP5+BEAR+TIME_MID_1100_1300 | SIGNALS 646 | RATE 53.72 % | AVG MFE 0.1167 % | AVG MAE 0.0995 %
UP3+NEAR_LOW+BEAR+TIME_MID_1100_1300 | SIGNALS 384 | RATE 53.65 % | AVG MFE 0.1177 % | AVG MAE 0.104 %
BEARISH_ENGULF_AFTER_UP+TIME_LATE_1430_CLOSE | SIGNALS 60 | RATE 53.33 % | AVG MFE 0.1274 % | AVG MAE 0.1244 %
UP3+BREAK_LOW+NEAR_LOW+TIME_OPEN_0915_1100 | SIGNALS 168 | RATE 52.98 % | AVG MFE 0.1399 % | AVG MAE 0.1366 %
UP3+LOWER_HIGH+BEAR | SIGNALS 1192 | RATE 52.6 % | AVG MFE 0.1254 % | AVG MAE 0.1144 %
UP3+LOWER_HIGH+BEAR+TIME_LATE_1430_CLOSE | SIGNALS 183 | RATE 52.46 % | AVG MFE 0.1217 % | AVG MAE 0.1029 %
UP3+LOWER_HIGH+BEAR+TIME_OPEN_0915_1100 | SIGNALS 347 | RATE 52.45 % | AVG MFE 0.1409 % | AVG MAE 0.1307 %
UP3+NEAR_LOW+BEAR+TIME_OPEN_0915_1100 | SIGNALS 371 | RATE 52.29 % | AVG MFE 0.1409 % | AVG MAE 0.1292 %
PRIOR_UP3+BEAR+TIME_LATE_1430_CLOSE | SIGNALS 285 | RATE 52.28 % | AVG MFE 0.1279 % | AVG MAE 0.1073 %
BEARISH_ENGULF_AFTER_UP+TIME_MID_1100_1300 | SIGNALS 132 | RATE 52.27 % | AVG MFE 0.1188 % | AVG MAE 0.1024 %
UP3+EMA_REJECTION+BEAR+TIME_MID_1100_1300 | SIGNALS 265 | RATE 52.08 % | AVG MFE 0.1135 % | AVG MAE 0.0998 %
PRIOR_UP3+BEAR | SIGNALS 2063 | RATE 51.91 % | AVG MFE 0.125 % | AVG MAE 0.114 %
UP3+BREAK_LOW+TIME_OPEN_0915_1100 | SIGNALS 214 | RATE 51.87 % | AVG MFE 0.1442 % | AVG MAE 0.1381 %
UP3+BREAK_LOW+NEAR_LOW+TIME_LATE_1430_CLOSE | SIGNALS 81 | RATE 51.85 % | AVG MFE 0.126 % | AVG MAE 0.1112 %
PRIOR_UP5+BEAR | SIGNALS 2021 | RATE 51.81 % | AVG MFE 0.1239 % | AVG MAE 0.1148 %
UP3+EMA_BREAK+BEAR | SIGNALS 1012 | RATE 51.58 % | AVG MFE 0.1278 % | AVG MAE 0.1168 %
UP3+BREAK_LOW+TIME_MID_1100_1300 | SIGNALS 226 | RATE 51.33 % | AVG MFE 0.1227 % | AVG MAE 0.1057 %
UP3+NEAR_LOW+BEAR | SIGNALS 1244 | RATE 51.29 % | AVG MFE 0.1249 % | AVG MAE 0.117 %
UP3+BREAK_LOW+EMA+TIME_OPEN_0915_1100 | SIGNALS 145 | RATE 51.03 % | AVG MFE 0.1507 % | AVG MAE 0.1514 %
UP3+EMA_REJECTION+BEAR+TIME_LATE_1430_CLOSE | SIGNALS 104 | RATE 50.96 % | AVG MFE 0.124 % | AVG MAE 0.1126 %
UP3+BREAK_LOW+TIME_LATE_1430_CLOSE | SIGNALS 104 | RATE 50.96 % | AVG MFE 0.1255 % | AVG MAE 0.105 %
PRIOR_UP3+BEAR+TIME_OPEN_0915_1100 | SIGNALS 588 | RATE 50.85 % | AVG MFE 0.1361 % | AVG MAE 0.1321 %
UP3+BREAK_LOW+EMA+TIME_LATE_1430_CLOSE | SIGNALS 73 | RATE 50.68 % | AVG MFE 0.133 % | AVG MAE 0.1031 %
UP3+BREAK_LOW+EMA | SIGNALS 555 | RATE 50.63 % | AVG MFE 0.1308 % | AVG MAE 0.1187 %
UP3+NEAR_LOW+BEAR+TIME_LATE_1430_CLOSE | SIGNALS 160 | RATE 50.62 % | AVG MFE 0.1112 % | AVG MAE 0.1146 %
UP3+EMA_REJECTION+BEAR | SIGNALS 741 | RATE 50.47 % | AVG MFE 0.1236 % | AVG MAE 0.1139 %
UP3+EMA_REJECTION+BEAR+TIME_AFTERNOON_1300_1430 | SIGNALS 232 | RATE 50.43 % | AVG MFE 0.1266 % | AVG MAE 0.1108 %
UP3+BREAK_LOW+NEAR_LOW | SIGNALS 579 | RATE 50.26 % | AVG MFE 0.1273 % | AVG MAE 0.1202 %
PRIOR_UP5+BEAR+TIME_AFTERNOON_1300_1430 | SIGNALS 517 | RATE 50.1 % | AVG MFE 0.1222 % | AVG MAE 0.1177 %
PRIOR_UP5+BEAR+TIME_OPEN_0915_1100 | SIGNALS 574 | RATE 50.0 % | AVG MFE 0.13 % | AVG MAE 0.1338 %
UP3+BREAK_LOW+NEAR_LOW+TIME_MID_1100_1300 | SIGNALS 178 | RATE 50.0 % | AVG MFE 0.1245 % | AVG MAE 0.1121 %
UP3+BREAK_LOW | SIGNALS 746 | RATE 49.87 % | AVG MFE 0.1279 % | AVG MAE 0.1188 %
UP3+EMA_BREAK+BEAR+TIME_OPEN_0915_1100 | SIGNALS 251 | RATE 49.8 % | AVG MFE 0.1464 % | AVG MAE 0.1528 %
UP5+BREAK_LOW+EMA | SIGNALS 583 | RATE 49.74 % | AVG MFE 0.1275 % | AVG MAE 0.1252 %
BEARISH_ENGULF_AFTER_UP | SIGNALS 389 | RATE 49.61 % | AVG MFE 0.1215 % | AVG MAE 0.117 %
UP5+BREAK_LOW+EMA+TIME_MID_1100_1300 | SIGNALS 192 | RATE 49.48 % | AVG MFE 0.1187 % | AVG MAE 0.1026 %
UP5+BREAK_LOW+EMA+TIME_AFTERNOON_1300_1430 | SIGNALS 163 | RATE 49.08 % | AVG MFE 0.121 % | AVG MAE 0.1203 %
UP3+EMA_BREAK+BEAR+TIME_AFTERNOON_1300_1430 | SIGNALS 291 | RATE 48.8 % | AVG MFE 0.1235 % | AVG MAE 0.1132 %
BEARISH_ENGULF_AFTER_UP+TIME_OPEN_0915_1100 | SIGNALS 91 | RATE 48.35 % | AVG MFE 0.1265 % | AVG MAE 0.1244 %
PRIOR_UP3+BEAR+TIME_AFTERNOON_1300_1430 | SIGNALS 539 | RATE 48.05 % | AVG MFE 0.1201 % | AVG MAE 0.1188 %
UP5+BREAK_LOW+EMA+TIME_OPEN_0915_1100 | SIGNALS 150 | RATE 48.0 % | AVG MFE 0.1385 % | AVG MAE 0.1705 %
