====================================================================================================
PE STRICT CURVE RESEARCH
CANDLES: 7951
PATTERN EVENTS: 1882

====================================================================================================
FINAL PE STRICT CURVE RESULTS
PE5_STRICT_ALL+EMA | NEXT 3 | SIGNALS 24 | WINS 13 | RATE 54.17 % | AVG MFE 0.1045 % | AVG MAE 0.0857 %
PE4_STRICT_ALL+EMA | NEXT 1 | SIGNALS 81 | WINS 43 | RATE 53.09 % | AVG MFE 0.0738 % | AVG MAE 0.0576 %
PE3_STRICT_ALL+EMA | NEXT 1 | SIGNALS 175 | WINS 92 | RATE 52.57 % | AVG MFE 0.0668 % | AVG MAE 0.0537 %
PE3_STRICT_ALL+EMA | NEXT 5 | SIGNALS 175 | WINS 91 | RATE 52.0 % | AVG MFE 0.1282 % | AVG MAE 0.1216 %
PE3_FULL_STAIR+ACCEL | NEXT 1 | SIGNALS 378 | WINS 194 | RATE 51.32 % | AVG MFE 0.0583 % | AVG MAE 0.0556 %
PE3_FULL_STAIR+NEAR_LOW+EMA | NEXT 1 | SIGNALS 338 | WINS 173 | RATE 51.18 % | AVG MFE 0.0638 % | AVG MAE 0.0571 %
PE3_FULL_STAIR+STRONG+EMA | NEXT 1 | SIGNALS 325 | WINS 166 | RATE 51.08 % | AVG MFE 0.0649 % | AVG MAE 0.0581 %
PE3_FULL_STAIR+STRONG | NEXT 1 | SIGNALS 500 | WINS 254 | RATE 50.8 % | AVG MFE 0.061 % | AVG MAE 0.0592 %
PE3_FULL_STAIR+ACCEL+EMA | NEXT 1 | SIGNALS 239 | WINS 121 | RATE 50.63 % | AVG MFE 0.0616 % | AVG MAE 0.0559 %
PE3_FULL_STAIR+ACCEL+EMA | NEXT 5 | SIGNALS 239 | WINS 121 | RATE 50.63 % | AVG MFE 0.1255 % | AVG MAE 0.1265 %
PE3_STRICT_ALL | NEXT 1 | SIGNALS 276 | WINS 139 | RATE 50.36 % | AVG MFE 0.061 % | AVG MAE 0.0573 %
PE3_STRICT_ALL+EMA | NEXT 3 | SIGNALS 175 | WINS 88 | RATE 50.29 % | AVG MFE 0.1048 % | AVG MAE 0.0942 %
PE3_FULL_STAIR+ACCEL | NEXT 5 | SIGNALS 378 | WINS 190 | RATE 50.26 % | AVG MFE 0.1235 % | AVG MAE 0.1234 %
PE4_FULL_STAIR+NEAR_LOW+EMA | NEXT 1 | SIGNALS 136 | WINS 68 | RATE 50.0 % | AVG MFE 0.0689 % | AVG MAE 0.0589 %
PE4_FULL_STAIR+STRONG+EMA | NEXT 1 | SIGNALS 130 | WINS 65 | RATE 50.0 % | AVG MFE 0.0699 % | AVG MAE 0.0584 %
PE4_STRICT_ALL | NEXT 1 | SIGNALS 114 | WINS 57 | RATE 50.0 % | AVG MFE 0.0658 % | AVG MAE 0.0606 %
PE5_FULL_STAIR+STRONG+EMA | NEXT 3 | SIGNALS 46 | WINS 23 | RATE 50.0 % | AVG MFE 0.0989 % | AVG MAE 0.0931 %
PE5_STRICT_ALL+EMA | NEXT 1 | SIGNALS 24 | WINS 12 | RATE 50.0 % | AVG MFE 0.0619 % | AVG MAE 0.0658 %
PE5_STRICT_ALL+EMA | NEXT 5 | SIGNALS 24 | WINS 12 | RATE 50.0 % | AVG MFE 0.1411 % | AVG MAE 0.1104 %
PE3_FULL_STAIR+EMA | NEXT 1 | SIGNALS 539 | WINS 268 | RATE 49.72 % | AVG MFE 0.062 % | AVG MAE 0.058 %
PE3_FULL_STAIR | NEXT 1 | SIGNALS 865 | WINS 428 | RATE 49.48 % | AVG MFE 0.0581 % | AVG MAE 0.0581 %
PE3_LOWER_CLOSE+EMA | NEXT 1 | SIGNALS 1016 | WINS 502 | RATE 49.41 % | AVG MFE 0.0586 % | AVG MAE 0.0558 %
PE3_LOWER_CLOSE | NEXT 1 | SIGNALS 1860 | WINS 917 | RATE 49.3 % | AVG MFE 0.0542 % | AVG MAE 0.0551 %
PE3_FULL_STAIR+NEAR_LOW | NEXT 1 | SIGNALS 536 | WINS 264 | RATE 49.25 % | AVG MFE 0.0597 % | AVG MAE 0.0591 %
PE3_FULL_STAIR+STRONG+EMA | NEXT 5 | SIGNALS 325 | WINS 160 | RATE 49.23 % | AVG MFE 0.1334 % | AVG MAE 0.1271 %
PE5_FULL_STAIR+STRONG | NEXT 1 | SIGNALS 55 | WINS 27 | RATE 49.09 % | AVG MFE 0.0607 % | AVG MAE 0.0611 %
PE5_FULL_STAIR+STRONG | NEXT 3 | SIGNALS 55 | WINS 27 | RATE 49.09 % | AVG MFE 0.0996 % | AVG MAE 0.0891 %
PE3_FULL_STAIR+ACCEL+EMA | NEXT 3 | SIGNALS 239 | WINS 117 | RATE 48.95 % | AVG MFE 0.1015 % | AVG MAE 0.0969 %
PE3_LOWER_CLOSE+EMA | NEXT 5 | SIGNALS 1016 | WINS 497 | RATE 48.92 % | AVG MFE 0.1288 % | AVG MAE 0.1229 %
