date,gap_pct,first_body_pct,first_range,orb_range,day_range,bull_first,bear_first,pdh_break,pdl_break,day_result
2024-02-06,0,72.32,339.49,347.94,634.52,0,1,0,0,BULL
2024-02-07,0.47,57.03,114.53,233.73,617.04,0,1,1,0,BEAR
2024-02-08,0.37,61.28,186.89,186.89,1242.8,0,1,0,1,BEAR
2024-02-09,-0.19,65.66,224.75,421.49,474.14,0,1,0,1,BULL
2024-02-12,0.17,6.0,208.22,208.55,829.82,1,0,1,1,BEAR
2024-02-13,0.29,16.85,151.55,325.73,737.89,0,1,0,0,BULL
2024-02-14,-0.59,39.22,131.86,216.81,1124.02,0,1,1,1,BULL
2024-02-15,0.3,68.41,104.67,204.65,517.75,0,1,1,0,BULL
2024-02-16,0.41,68.01,117.77,153.88,325.87,0,1,1,0,BULL
2024-02-19,0.29,60.33,178.37,196.2,569.94,0,1,1,0,BULL
2024-02-20,0.05,90.04,214.25,214.25,615.29,0,1,1,0,BULL
2024-02-21,0.28,62.5,237.98,237.98,817.05,0,1,1,1,BEAR
2024-02-22,0.22,48.91,201.45,278.15,1174.01,0,1,0,1,BULL
2024-02-23,0.31,64.38,193.42,226.08,389.89,0,1,1,0,BEAR
2024-02-26,-0.06,67.54,149.47,149.47,423.98,0,1,0,1,BEAR
2024-02-27,-0.1,46.2,113.75,177.62,498.41,0,1,1,1,BULL
2024-02-28,0.14,38.86,100.25,100.25,987.33,0,1,1,1,BEAR
2024-02-29,-0.03,85.66,147.51,233.7,629.23,1,0,0,1,BULL
2024-03-01,-0.11,80.64,325.95,336.31,1228.07,1,0,1,0,BULL
2024-03-04,0.33,57.0,119.57,151.25,240.31,1,0,1,0,BEAR
2024-03-05,-0.15,34.77,204.3,204.3,503.29,0,1,0,1,BEAR
2024-03-06,-0.09,62.68,146.22,187.34,829.46,0,1,1,1,BULL
2024-03-07,0.16,50.64,170.04,176.75,321.83,0,1,1,0,BEAR
2024-03-11,0.13,35.57,201.78,201.78,753.45,0,1,0,1,BEAR
2024-03-12,0.01,74.21,173.75,182.86,656.85,1,0,0,1,BULL
2024-03-13,0.4,60.79,169.85,275.19,1535.51,0,1,1,1,BEAR
2024-03-14,-0.22,27.51,206.82,266.06,864.58,0,1,0,1,BULL
2024-03-15,-0.37,45.59,147.54,199.67,510.83,1,0,0,1,BEAR
2024-03-18,0.02,35.52,201.5,291.54,666.94,1,0,0,1,BULL
2024-03-19,-0.38,35.16,119.64,169.87,554.61,0,1,0,1,BEAR
2024-03-20,0.15,70.86,136.22,155.46,727.7,1,0,0,1,BULL
2024-03-21,0.64,37.09,82.0,100.03,462.7,1,0,1,0,BULL
2024-03-22,-0.52,82.37,163.83,280.68,943.46,1,0,1,1,BULL
2024-03-26,-0.5,94.63,279.21,287.19,303.74,1,0,0,0,BULL
2024-03-27,0.24,8.03,123.66,184.07,537.81,1,0,1,0,BULL
2024-03-28,0.2,51.63,90.95,197.16,1044.66,1,0,1,0,BULL
2024-04-01,0.48,98.1,216.06,216.06,342.43,1,0,1,0,BULL
2024-04-02,-0.09,81.98,163.79,201.11,354.39,0,1,0,1,BEAR
2024-04-03,-0.31,50.79,163.82,192.86,607.46,0,1,1,1,BULL
2024-04-04,0.75,40.46,210.89,254.76,990.24,0,1,1,1,BEAR
2024-04-05,-0.19,67.74,184.63,233.78,410.54,0,1,0,0,BULL
2024-04-08,0.22,6.65,105.77,129.65,456.91,1,0,1,0,BULL
2024-04-09,0.43,94.58,171.09,252.87,519.72,0,1,1,0,BEAR
2024-04-10,0.34,52.84,109.28,134.07,295.41,0,1,0,0,BULL
2024-04-12,-0.25,34.74,163.28,201.12,757.86,1,0,0,1,BEAR
2024-04-15,-1.17,66.95,358.79,358.79,561.38,1,0,0,1,BULL
2024-04-16,-0.6,9.1,200.93,280.76,449.55,1,0,0,1,BULL
2024-04-18,0.19,50.06,108.05,157.22,1107.0,1,0,1,1,BEAR
2024-04-19,-0.91,40.72,157.54,234.23,1387.24,0,1,0,1,BULL
2024-04-22,0.77,97.39,257.43,296.1,534.51,0,1,1,0,BULL
2024-04-23,0.29,9.84,115.51,137.13,289.9,0,1,1,0,BEAR
2024-04-24,0.32,73.13,104.7,104.7,331.22,0,1,1,0,BEAR
2024-04-25,-0.38,54.7,125.17,125.17,988.71,1,0,1,1,BULL
2024-04-26,0.22,70.26,122.28,144.25,878.43,0,1,0,0,BEAR
2024-04-29,0.09,44.6,107.0,237.47,792.02,1,0,1,0,BULL
2024-04-30,0.22,7.39,110.28,110.28,760.15,1,0,1,0,BEAR
2024-05-02,-0.07,87.14,303.29,314.86,443.94,1,0,0,0,BULL
2024-05-03,0.45,56.1,79.57,104.38,1625.06,1,0,1,1,BEAR
2024-05-06,0.47,77.2,149.94,275.9,569.86,0,1,0,0,BEAR
2024-05-07,0.04,51.17,81.35,137.47,765.99,0,1,0,1,BEAR
2024-05-08,-0.32,18.3,193.87,265.77,611.01,0,1,0,1,BULL
2024-05-09,-0.29,89.37,174.79,202.75,1118.72,1,0,0,1,BEAR
2024-05-10,-0.06,18.4,149.91,302.88,570.0,1,0,0,0,BULL
2024-05-13,-0.24,56.79,279.28,391.95,991.81,0,1,0,1,BULL
2024-05-14,-0.07,92.65,246.41,282.62,579.81,1,0,1,0,BULL
2024-05-15,0.11,9.59,100.72,100.72,477.43,1,0,1,0,BEAR
2024-05-16,0.44,64.48,111.34,144.19,1219.18,0,1,1,1,BULL
2024-05-17,0.09,46.92,185.56,271.21,609.31,0,1,1,0,BULL
2024-05-21,-0.12,34.33,178.49,196.29,426.74,1,0,1,0,BULL
2024-05-22,0.26,76.94,106.35,118.59,442.89,0,1,1,0,BULL
2024-05-23,-0.06,20.12,91.41,93.1,1338.9,1,0,1,0,BULL
2024-05-24,-0.05,59.48,196.29,304.31,389.69,1,0,1,0,BULL
2024-05-27,0.38,66.74,96.27,176.64,824.36,0,1,1,1,BEAR
2024-05-28,0.24,35.43,101.93,101.93,496.52,0,1,0,1,BEAR
2024-05-29,-0.47,55.05,175.26,181.16,530.94,1,0,0,1,BEAR
2024-05-30,-0.32,81.38,185.55,242.98,822.39,1,0,0,1,BEAR
2024-05-31,0.14,33.1,145.21,339.41,697.67,1,0,0,0,BEAR
2024-06-03,3.56,78.25,853.54,902.38,972.49,0,1,1,0,BEAR
2024-06-04,-0.63,72.4,1366.94,2172.22,5885.51,0,1,0,1,BEAR
2024-06-05,0.36,91.23,501.05,951.44,2649.26,0,1,0,0,BULL
2024-06-06,1.04,61.75,403.2,472.44,820.34,0,1,1,0,BULL
